Assay	Mechanism	Classification
qacH_351_351	efflux	MDR
qepA_1_2_1201	efflux	Fluoroquinolone
qnrA_248	protection	Fluoroquinolone
qnrB-bob_resign_328-n	efflux	Amphenicol
QnrB4_1202	protection	Fluoroquinolone
"qnrB46,47,48_1579"	protection	fluoroquinolone
qnrD_1574	protection	fluoroquinolone
QnrS1_S3_S5_1203	protection	Fluoroquinolone
qnrS2_1576	protection	fluoroquinolone
QnrVC1_VC3_VC6_1204	protection	Fluoroquinolone
QnrVC4_VC5_VC7_1205	protection	Fluoroquinolone
sat4_49	deactivate	Aminoglycoside
silE_1304	deactivate	MDR-mobile
spcN_406	deactivate	Aminoglycoside
spec_aph_407	deactivate	Aminoglycoside
Staphylococci_1532	protection	taxanomic
str_175	deactivate	Aminoglycoside
strA_176	deactivate	Aminoglycoside
strB_177	protection	Sulfonamide
sugE_1549	sugE	MDR-mobile
sul1 NEW_363	protection	Sulfonamide
sul2_133	protection	Sulfonamide
sulA-folP_280	protection	Sulfonamide
sulIII_705	protection	Sulfonamide
tcrB_1571	efflux	MDR-mobile
terW_1572	other	MDR-mobile
tet(32)_54	protection	Tetracycline 
tet(36)_22	protection	Tetracycline 
tet(38)_1518	efflux	Tetracycline 
tet39_505	efflux	tetracycline
tet40_500	efflux	Tetracycline
tet44_1539	protection	Tetracycline 
tetA_180	efflux	Tetracycline 
tetB_181	efflux	Tetracycline 
tetbP_294	efflux	tetracycline
tetC_199	efflux	Tetracycline 
tetD_501	efflux	Tetracycline 
tetE_291	efflux	Tetracycline 
tetG_F_507	efflux	Tetracycline 
tetH_187	efflux	Tetracycline 
tetJ_1516	efflux	Tetracycline 
tetK_184	efflux	Tetracycline 
tetL_195	efflux	Tetracycline 
tetM_1513	protection	Tetracycline 
tetO_192	protection	Tetracycline 
tetPA_1507	efflux	Tetracycline 
tetPB_502	efflux	tetracycline
tetQ_185	protection	Tetracycline 
"tetR_506, 508"	regulator	Tetracycline 
tetS_200	protection	Tetracycline 
tetT_297	protection	Tetracycline 
tetU_69	unknown	Tetracycline 
tetW_191	protection	Tetracycline 
tetX_196	deactivate	Tetracycline 
Tn3_1559	MGE	Transposase
TN5_384	MGE	Insertional 
TN5403_1556	MGE	Transposase
tnpA-05/IS26_201	MGE	Transposase
tnpA-04/IS6100_202	MGE	Transposase
tnpA-02/IS4_203	MGE	Transposase
tnpA-01/IS21_204	MGE	Transposase
tnpA-07/ISEcp1B_205	MGE	Transposase
tnpA-06/IS1216_206	MGE	Transposase
tnpA-03/IS6_207	MGE	Transposase
tolC_298	efflux	MDR
Tp614_25	MGE	Transposase
tra-A_1526	MGE	plasmid
traN_1525	MGE	plasmid
trb-C_1527	MGE	Insertional
trfa_358	MGE	Transposase
ttgA_243	efflux	MDR
ttgB_244	efflux	MDR
vanA_1514	protection	Vancomycin
VanB_211	protection	Vancomycin
vanC_71	protection	Vancomycin
vanC2-vanC3_1003	protection	Vancomycin
vanD_213	protection	Vancomycin
vanG_1002	protection	Vancomycin
vanHB_215	protection	Vancomycin
vanHD_214	protection	Vancomycin
vanRA_216	protection	Vancomycin
vanRB_306	protection	Vancomycin
vanRC_307	protection	Vancomycin
vanRC4_308	protection	Vancomycin
vanRD_309	protection	Vancomycin
vanSA_218	protection	Vancomycin
vanSB_1521	protection	Vancomycin
vanSC_311	protection	Vancomycin
vanTC_315	protection	Vancomycin
vanTE_314	protection	Vancomycin
vanTG_316	protection	Vancomycin
vanWB_220	protection	Vancomycin
vanXA_1515	protection	Vancomycin
vanXB_223	protection	Vancomycin
vanYB_317	protection	Vancomycin
vanYD_318	protection	Vancomycin
vat(A)_813	deactivate	MLSB
vat(E)_263	deactivate	MLSB
vatB_828	deactivate	MLSB
vga(A)LC_827	protection	MLSB
vgaA_826	efflux	MLSB
vgaB_227	efflux	MLSB
